motor_timestamp,motor_position,arduino_timestamp,arduino_position
1739940627.3397582,0.0,1739940627.339958,0.0
1739940627.3498764,0.0,1739940627.3511195,0.0
1739940627.3600054,0.674336314201355,1739940627.362119,0.0
1739940627.370143,0.674336314201355,1739940627.3730118,0.0
1739940627.38028,0.6740597486495972,1739940627.404937,-0.01
1739940627.3914013,0.6735333204269409,1739940627.4417596,-0.0
1739940627.4015048,0.67302405834198,1739940627.4618955,760.0
1739940627.4115636,0.6722630262374878,1739940627.4934337,-3.885
1739940627.4216542,0.6707924604415894,1739940627.5527735,-8.095
1739940627.4317868,0.6686962842941284,1739940627.5917351,-12.1
1739940627.4419034,0.6661995649337769,1739940627.6525416,-16.435
1739940627.4519982,0.6627548933029175,1739940627.7049022,-21.005
1739940627.4620893,0.6582554578781128,1739940627.7558038,-25.58
1739940627.4721642,0.651936411857605,1739940627.8067682,-30.14
1739940627.4823606,0.6431359052658081,1739940627.8581572,-34.575
1739940627.4924612,0.6319664716720581,1739940627.8955116,-39.45
1739940627.5025456,0.621672511100769,1739940627.9566407,-44.23
1739940627.5127163,0.6134747266769409,1739940628.0076818,-48.9
1739940627.5228,0.6034668684005737,1739940628.060733,-53.25
1739940627.5329742,0.591154932975769,1739940628.0917592,-54.755
1739940627.5430765,0.5787323713302612,1739940628.1519563,-53.995
1739940627.5531523,0.5645989179611206,1739940628.2024138,-53.995
1739940627.5632417,0.5510929822921753,1739940628.2528372,-53.995
1739940627.5733232,0.5413311719894409,1739940628.303259,-53.995
1739940627.5834503,0.5190285444259644,1739940628.3542633,-53.995
1739940627.5935304,0.5066632032394409,1739940628.404962,-53.995
1739940627.604813,0.49303138256073,1739940628.4555554,-53.995
1739940627.6148765,0.47903525829315186,1739940628.5068989,-53.995
1739940627.625068,0.4682110548019409,1739940628.5575051,-53.995
1739940627.635135,0.457112193107605,1739940628.6080725,-53.995
1739940627.6479657,0.44497954845428467,1739940628.658587,-53.995
1739940627.6580904,0.43257033824920654,1739940628.7091794,-53.995
1739940627.6681585,0.41730010509490967,1739940628.7597995,-53.995
1739940627.6782212,0.40371978282928467,1739940628.8102202,-53.995
1739940627.688354,0.39338386058807373,1739940628.8610687,-53.995
1739940627.7016616,0.38169753551483154,1739940628.9116442,-53.995
1739940627.711789,0.37001121044158936,1739940628.962195,-53.995
1739940627.7219753,0.3577355146408081,1739940629.012905,-53.995
1739940627.7323315,0.3431137800216675,1739940629.0644395,-53.995
1739940627.7424786,0.32992827892303467,1739940629.1149392,-53.995
1739940627.7525506,0.3181847333908081,1739940629.1453505,-53.0
1739940627.7626333,0.30502212047576904,1739940629.1654372,995.0
1739940627.7727525,0.29283607006073,1739940629.1957557,-53.995
1739940627.782825,0.27894675731658936,1739940629.2461593,-53.995
1739940627.7929842,0.2651318311691284,1739940629.2965438,-53.995
1739940627.8030696,0.2537945508956909,1739940629.3566062,-53.995
1739940627.8131902,0.24188315868377686,1739940629.4071493,-53.995
1739940627.8233457,0.22885596752166748,1739940629.458641,-53.995
1739940627.8334234,0.2039421796798706,1739940629.5092783,-53.995
1739940627.8435585,0.2039421796798706,1739940629.5597847,-53.995
1739940627.8536873,0.1804741621017456,1739940629.6103575,-53.995
1739940627.8637812,0.16764914989471436,1739940629.6610258,-53.995
1739940627.8739011,0.15424048900604248,1739940629.7117465,-53.995
1739940627.8848426,0.14016807079315186,1739940629.7623737,-53.995
1739940627.8950167,0.12524116039276123,1739940629.8141336,-53.995
1739940627.9051304,0.11404883861541748,1739940629.8646991,-53.995
1739940627.9152207,0.10234534740447998,1739940629.9152668,-53.995
1739940627.9261875,0.08844649791717529,1739940629.9673486,-53.995
1739940627.936286,0.07511985301971436,1739940630.0179896,-53.995
1739940627.9464345,0.05984008312225342,1739940630.0484593,
1739940627.956567,0.04614531993865967,1739940630.0690143,53.995
