motor_timestamp,motor_position,arduino_timestamp,arduino_position
1739940629.05919,-0.083720326423645,1739940632.17466,-5.5
1739940629.06928,-0.083720326423645,1739940632.22528,-2.16
1739940629.07936,-0.083720326423645,1739940632.2759,1.355
1739940629.08946,-0.083720326423645,1739940632.32634,4.84
1739940629.09956,-0.083720326423645,1739940632.37682,8.54
1739940629.10966,-0.083720326423645,1739940632.42734,11.995
1739940629.11975,-0.083720326423645,1739940632.47791,15.145
1739940629.12984,-0.083720326423645,1739940632.52843,19.11
1739940629.13992,-0.083720326423645,1739940632.57896,22.51
1739940629.15,-0.083720326423645,1739940632.62953,26.02
1739940629.16009,-0.083720326423645,1739940632.6801,29.92
1739940629.17018,-0.083720326423645,1739940632.73074,33.55
1739940629.1803,-0.083720326423645,1739940632.76117,37
1739940629.1904,-0.083720326423645,1739940632.78125,0.19
1739940629.20048,-0.083720326423645,1739940632.81165,40.7
1739940629.21057,-0.083720326423645,1739940632.83174,25
1739940629.22066,-0.083720326423645,1739940632.86201,44
1739940629.23076,-0.083720326423645,1739940632.88215,620
1739940629.24086,-0.083720326423645,1739940632.9125,47.885
1739940629.25097,-0.083720326423645,1739940632.96297,51.105
1739940629.26105,-0.083720326423645,1739940633.02311,54.96
1739940629.27116,-0.083720326423645,1739940633.07367,58.36
1739940629.28126,-0.083720326423645,1739940633.12416,61.825
1739940629.29135,-0.083720326423645,1739940633.17464,65.5
1739940629.30209,-0.083720326423645,1739940633.22527,69.145
1739940629.3122,-0.083720326423645,1739940633.27576,72.71
1739940629.32231,-0.083720326423645,1739940633.32636,76.225
1739940629.3324,-0.083720326423645,1739940633.37695,80.07
1739940629.34252,-0.083720326423645,1739940633.42741,83.495
1739940629.35264,-0.083720326423645,1739940633.47796,86.85
1739940629.36275,-0.083720326423645,1739940633.52869,90.64
1739940629.37291,-0.083720326423645,1739940633.58015,94.395
1739940629.38303,-0.083720326423645,1739940633.63067,97.8
1739940629.39316,-0.083720326423645,1739940633.68116,101.35
1739940629.40328,-0.083720326423645,1739940633.73163,105.215
1739940629.41339,-0.083720326423645,1739940633.78217,108.535
1739940629.4235,-0.083720326423645,1739940633.83356,111.865
1739940629.43363,-0.083720326423645,1739940633.88407,115.545
1739940629.44374,-0.083720326423645,1739940633.93457,119.06
1739940629.45387,-0.083720326423645,1739940633.98628,122.58
1739940629.46395,-0.083720326423645,1739940634.03686,126.225
1739940629.47404,-0.083720326423645,1739940634.08733,130.06
1739940629.48412,-0.083720326423645,1739940634.13792,133.475
1739940629.49424,-0.083720326423645,1739940634.18852,136.99
1739940629.50432,-0.083720326423645,1739940634.24067,140.86
1739940629.5144,-0.083720326423645,1739940634.29115,144.08
1739940629.5245,-0.083720326423645,1739940634.32226,147.53
1739940629.5346,-0.083720326423645,1739940634.34234,5
1739940629.54472,-0.083720326423645,1739940634.37265,151.09
1739940629.55482,-0.083720326423645,1739940634.423,15
1739940629.56491,-0.083720326423645,1739940634.44319,4.805
1739940629.57509,-0.083720326423645,1739940634.47357,158.24
1739940629.58515,-0.083720326423645,1739940634.52387,161.85
1739940629.59526,-0.083720326423645,1739940634.54395,5
1739940629.60536,-0.083720326423645,1739940634.57419,165
1739940629.61545,-0.083720326423645,1739940634.59429,930
1739940629.62556,-0.083720326423645,1739940634.62458,169.2
1739940629.63566,-0.083720326423645,1739940634.64466,25
1739940629.64577,-0.083720326423645,1739940634.67496,172.8
1739940629.65586,-0.083720326423645,1739940634.69506,80
1739940629.66594,-0.083720326423645,1739940634.72535,176.7
1739940629.67601,-0.083720326423645,1739940634.74548,80
1739940629.68609,-0.083720326423645,1739940634.77617,180.175
1739940629.69623,-0.083720326423645,1739940634.83637,183.86
1739940629.70632,-0.083720326423645,1739940634.88686,187.47
1739940629.71641,-0.083720326423645,1739940634.9374,191.405
1739940629.72651,-0.083720326423645,1739940634.988,194.85
1739940629.73661,-0.083720326423645,1739940635.03939,198.33
1739940629.7467,-0.083720326423645,1739940635.08995,202.295
1739940629.75679,-0.083720326423645,1739940635.14046,205.44
1739940629.76688,-0.083720326423645,1739940635.19103,208.985
1739940629.77698,-0.083720326423645,1739940635.24167,212.695
1739940629.78708,-0.083720326423645,1739940635.29228,216.245
1739940629.79783,-0.083720326423645,1739940635.3429,219.68
1739940629.80802,-0.083720326423645,1739940635.39345,223.195
1739940629.81813,-0.083720326423645,1739940635.4441,226.795
1739940629.82824,-0.083720326423645,1739940635.49471,229.495
1739940629.83835,-0.083720326423645,1739940635.5452,232.54
1739940629.84844,-0.083720326423645,1739940635.59576,234.325
1739940629.85853,-0.083720326423645,1739940635.64623,236.645
1739940629.86878,-0.083720326423645,1739940635.69676,237.81
1739940629.87889,-0.083720326423645,1739940635.74728,238.665
1739940629.88899,-0.083720326423645,1739940635.7977,239.825
1739940629.89909,-0.083720326423645,1739940635.84814,240.145
1739940629.9092,-0.083720326423645,1739940635.8987,240.25
1739940629.91931,-0.083720326423645,1739940635.94927,240.26
1739940629.93011,-0.083720326423645,1739940635.99996,240.265
1739940629.94027,-0.083720326423645,1739940636.05056,240.27
1739940629.95037,-0.083720326423645,1739940636.10167,240.275
1739940629.96048,-0.083720326423645,1739940636.15229,240.275
1739940629.97058,-0.083720326423645,1739940636.20379,240.275
1739940629.98067,-0.083720326423645,1739940636.25427,240.28
1739940629.99078,-0.083720326423645,1739940636.30476,240.28
1739940630.00091,-0.083720326423645,1739940636.35523,240.28
1739940630.01101,-0.083720326423645,1739940636.4057,240.28
1739940630.02111,-0.083720326423645,1739940636.43625,24
1739940630.0313,-0.083720326423645,1739940636.45635,0.28
1739940630.0414,-0.083720326423645,1739940636.4868,240.28
1739940630.05151,-0.083720326423645,1739940636.50692,0
1739940630.06164,-0.083720326423645,1739940636.53733,240.28
1739940630.07174,-0.083720326423645,1739940636.59756,240.28
1739940630.08185,-0.083720326423645,1739940636.64828,240.28
1739940630.09199,-0.083720326423645,1739940636.69902,240.28
1739940630.1021,-0.083720326423645,1739940636.75035,240.28
1739940630.11224,-0.083720326423645,1739940636.80105,240.28
1739940630.12235,-0.083720326423645,1739940636.85156,240.28
1739940630.13247,-0.083720326423645,1739940636.90214,240.28
1739940630.1426,-0.083720326423645,1739940636.95272,240.28
1739940630.15269,-0.083720326423645,1739940637.00321,240.28
1739940630.16278,-0.083720326423645,1739940637.05367,240.28
1739940630.17289,-0.083720326423645,1739940637.1041,240.28
1739940630.18299,-0.083720326423645,1739940637.15488,240.28
1739940630.19382,-0.083720326423645,1739940637.2054,240.28
1739940630.20394,-0.083720326423645,1739940637.25592,240.28
1739940630.21406,-0.083720326423645,1739940637.30644,240.28
1739940630.22418,-0.083720326423645,1739940637.35696,240.28
1739940630.2343,-0.083720326423645,1739940637.4074,240.28
1739940630.24439,-0.083720326423645,1739940637.45851,240.28
1739940630.25452,-0.083720326423645,1739940637.50907,240.28
1739940630.2646,-0.083720326423645,1739940637.55954,240.28
1739940630.27478,-0.083720326423645,1739940637.61002,240.28
1739940630.28486,-0.083720326423645,1739940637.6606,240.28
1739940630.29494,-0.083720326423645,1739940637.71115,240.28
1739940630.30505,-0.083720326423645,1739940637.74232,2
1739940630.31514,-0.083720326423645,1739940637.76254,40.28
1739940630.32521,-0.083720326423645,1739940637.79311,240.28
1739940630.33529,-0.083720326423645,1739940637.85334,240.28
1739940630.34537,-0.083720326423645,1739940637.90506,240.28
1739940630.35545,-0.083720326423645,1739940637.95576,240.28
1739940630.36554,-0.083720326423645,1739940638.00647,240.28
1739940630.37561,-0.083720326423645,1739940638.05717,240.28
1739940630.38568,-0.083720326423645,1739940638.10778,240.28
