leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1.6767652,1.22339,1.2163502,1.8778893,1.9548622,1.8523405,5.68169641494751,-2.3655965328216553,751.5284423828125,0.07218229137154475,-0.013575722707873406,0.006013082209858942,0.9972809392557858
1.5469415,2.1703525,2.1010568,1.2076908,1.2095655,1.545841,8.406487464904785,3.568390130996704,751.1178588867188,-0.0919299520829081,0.03635264424291107,0.005202661216348001,0.9950880845655573
2.0621414,1.0493175,0.9823414,1.6498295,1.7318453,2.3181171,6.4843926429748535,-4.4705705642700195,750.7251586914062,0.10752845215950368,0.05502647244370001,0.01637553441468794,0.9925429691122364
1.4649101,2.380069,2.3727224,1.9579941,1.8775972,1.5451086,5.830663681030273,3.7542002201080322,774.5948486328125,-0.08090745338653997,-0.04136823655985619,0.011825401576994453,0.9957925528126206
1.3773266,2.4434826,2.4455392,1.9917485,1.8907789,1.4617479,5.538270950317383,4.048761367797852,774.5291137695312,-0.09291680340812936,-0.05325099213916119,0.013214754389481274,0.9941610322967409
1.876043,2.6909935,2.5905588,1.2815431,1.3149122,1.8364217,8.560661315917969,3.7310025691986084,773.9523315429688,-0.13007078834678934,0.060154269442569866,0.0016042896563230073,0.989676956298862
1.858894,1.6246978,1.691814,3.0792727,3.1909518,2.0092793,2.7976291179656982,-3.213355302810669,797.0564575195312,0.10204782264045048,-0.1225590753259758,-0.0049025075527150686,0.9871886776648123
1.5743481,2.1962903,2.2591968,2.888843,2.8234572,1.6927373,3.3627257347106934,0.7678029537200928,797.515380859375,0.0012171967971459717,-0.12364649621211482,0.00805992189786064,0.9922928566451342
1.6683422,2.4902985,2.509748,2.520679,2.433414,1.7844255,4.355271816253662,2.3357670307159424,797.5494384765625,-0.048983354697093376,-0.07564644089910236,0.01264373627393345,0.9958505819867232
2.577644,2.0003083,1.9771551,2.8563094,2.956514,2.8264809,4.439501762390137,-5.237251281738281,820.1857299804688,0.09510313580274332,-0.017726235541563305,0.010383689050782267,0.9952554204314555
2.657356,2.9188874,2.8079047,2.0227542,2.041719,2.712738,6.599252223968506,-0.8022103905677795,819.8888549804688,-0.0647513983622014,0.06841368315612813,0.009841169519795757,0.9955048858737269
2.7732294,2.4982445,2.4007506,2.2693954,2.2929397,2.9274921,5.652225971221924,-3.670454740524292,819.9785766601562,0.008111826751499747,0.05987604781065446,0.01571451528813319,0.9980491518715047
1.6604668,2.9818127,1.4631171,1.6346924,2.3112502,0.93880045,156.4702606201172,1.554650902748108,749.2759399414062,-0.07410812175131716,-0.0961737590294166,0.01655930162354891,0.9924638018024554
1.9584404,2.5999768,1.0029768,1.6641705,2.4419284,1.2719437,156.3712921142578,-1.2898335456848145,749.5484619140625,0.0010222968484766574,-0.06793593590286888,0.010467642955707209,0.9976342425088516
1.7587963,2.7154553,1.1643461,1.7910645,2.5049396,1.0452305,155.7135009765625,0.022332360967993736,749.4354858398438,-0.02291541128741468,-0.102239430955585,0.011952847480935364,0.9944240113701095
2.3252084,3.3996594,2.078895,1.679004,1.8240082,1.221193,138.43292236328125,55.29267883300781,772.2245483398438,-0.11072793075673051,-0.014950361879092967,0.01567377914735707,0.9936146871943634
1.8845288,3.1565583,1.9122728,2.4284778,2.4355807,0.7915684,134.96083068847656,55.24284744262695,771.7274169921875,-0.0702010144260625,-0.13492052247873043,0.02337339131518372,0.9880900518448952
3.0690992,2.2277844,0.72336316,1.9694456,2.257978,2.2851331,135.012451171875,46.29926681518555,772.6600341796875,0.11836765429160141,0.046331297537353,0.0210727120575885,0.991664485802109
2.1886652,3.2310803,2.3851733,2.9926066,2.479404,0.97018397,94.89710998535156,94.9861068725586,796.030517578125,-0.06325653254667064,-0.13091406209994622,0.02214346610716775,0.9891257692201714
2.673124,3.2406647,2.299543,2.4161866,2.019565,1.4981705,98.37210083007812,92.02587890625,796.1990356445312,-0.06115470230543316,-0.022256501072352938,0.015977478919057198,0.9977522114581301
3.2085035,3.4116852,2.3746753,1.736499,1.4026805,1.9805332,100.8390121459961,90.97443389892578,795.6468505859375,-0.0866301215086495,0.09413771225329277,0.009390176502171714,0.991738443054394
3.1720636,3.1409333,2.6152282,2.7433732,1.9888622,2.141649,50.755348205566406,109.03623962402344,820.1106567382812,-0.03009989187805845,0.027572477312735003,0.016833914059193593,0.9990247127938731
3.497566,2.597354,2.0380054,2.8792164,2.1874115,2.6328142,51.05086135864258,104.9254379272461,819.437255859375,0.0710502978728136,0.05480331253395953,0.023877171972703462,0.9956798291839051
2.9780939,2.9057627,2.4244628,3.1361573,2.4117768,1.9714123,49.3920783996582,109.13328552246094,819.9511108398438,0.010028577636923976,-0.032532054705569476,0.015701934315099943,0.9992970215993628
2.7874827,1.7284573,1.6384099,2.255809,0.8325529,1.6361728,5.74656867980957,148.19422912597656,750.0982055664062,0.04564967951867562,0.07520749323293148,0.0190360751760983,0.9959405444637001
1.5407156,2.6147394,2.6654468,2.7824566,1.162446,0.16119704,2.405783176422119,157.74713134765625,749.9149169921875,-0.12064066629366155,-0.11335621839368329,0.02437747178160365,0.9859015873868843
1.8520578,2.692994,2.6824775,2.3776715,0.8127146,0.46569952,3.8666670322418213,156.98648071289062,750.007080078125,-0.13209990678346148,-0.0428442727791124,0.018109291072312277,0.9901444509031059
2.4036307,2.3731108,2.8281493,2.432422,0.89181614,1.5568403,-48.860801696777344,132.4932098388672,773.6834106445312,-0.07668315253143576,0.04088747065272342,0.010223573170129245,0.996164341837435
