leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,meas_pos_x,meas_pos_y,meas_pos_z,meas_ori_x,meas_ori_y,meas_ori_z,meas_ori_w,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_ori_x,cmd_ori_y,cmd_ori_z,cmd_ori_w
1.2996321,1.4457088,3.1915886,2.5160797,3.156618,3.8116934,-179.82467651367188,-179.77273559570312,164.41618652343755,0.000492288059881312,0.0018482759649176446,0.008019837268586604,0.9999660098736525,-180.0,-180.0,165.0,0.0,0.0,0.0,1.0
1.3501043,1.3554358,3.111234,2.5704887,2.868776,3.5478404,-180.0881805419922,-139.61154174804688,164.10930175781255,0.0004709715315417457,0.00184183555601542,0.010389348226263265,0.9999442233981368,-180.0,-140.0,165.0,0.0,0.0,0.0,1.0
1.4333544,1.3028235,3.0658562,2.6438777,2.6109636,3.3018057,-180.15780639648438,-99.92793273925781,164.18815917968755,9.595571790103456e-05,0.0024264185061467444,0.010742851236495776,0.9999393429837237,-180.0,-100.0,165.0,0.0,0.0,0.0,1.0
1.5496244,1.2799373,3.0390027,2.7464511,2.3725603,3.0738413,-179.399169921875,-59.68153762817383,164.44255371093755,0.0005365649407206648,0.0020901425609455722,0.010963987522715294,0.9999375696364032,-180.0,-60.0,165.0,0.0,0.0,0.0,1.0
1.6812792,1.2831111,3.0435803,2.8740146,2.1563146,2.8690073,-179.94740295410156,-20.774824142456055,164.27727050781255,6.875803588504666e-05,0.001851466688692351,0.012134740770767575,0.9999246568907119,-180.0,-20.0,165.0,0.0,0.0,0.0,1.0
1.8463774,1.3175349,3.0719597,3.0210674,1.9565732,2.6781485,-179.70323181152344,19.92407989501953,164.21989746093755,0.0002731168603528614,0.0020666853476727864,0.011448482784516923,0.9999322942820836,-180.0,20.0,165.0,0.0,0.0,0.0,1.0
2.0370512,1.3868709,3.1231701,3.1935356,1.7875421,2.5169566,-179.44873046875,59.771183013916016,164.33879394531255,2.0888453922072897e-05,0.002349252810853708,0.011905899143469841,0.9999263632007716,-180.0,60.0,165.0,0.0,0.0,0.0,1.0
2.250249,1.4810462,3.2036145,3.3949783,1.6444757,2.3827384,-179.85214233398438,99.63037872314453,164.33403320312505,9.664359038192701e-05,0.0023358508734474016,0.013159649092102196,0.9999106784506345,-180.0,100.0,165.0,0.0,0.0,0.0,1.0
2.4920073,1.6095862,3.3095086,3.6086967,1.528446,2.2698271,-179.34007263183594,139.4628448486328,164.65458984375005,-0.0002320991114578936,0.002743897420082134,0.012172309907257586,0.9999221309503871,-180.0,140.0,165.0,0.0,0.0,0.0,1.0
2.7509813,1.7574763,3.4385998,3.8482578,1.4380548,2.1846182,-180.333984375,179.7760772705078,164.2618286132813,-6.4497548701550854e-06,0.003224094014033369,0.01141004885497831,0.9999297087522189,-180.0,180.0,165.0,0.0,0.0,0.0,1.0
1.3182418,1.5548396,2.9122326,2.2819219,3.1236608,3.6428702,-139.99856567382812,-179.71556091308594,164.3891479492188,-8.806051903853868e-05,0.0011881870974808156,0.007670261283095532,0.9999698768489446,-140.0,-180.0,165.0,0.0,0.0,0.0,1.0
1.3737838,1.4641414,2.8271496,2.3288865,2.8389335,3.3755991,-139.8685302734375,-139.6607666015625,164.17668457031255,0.0005122358752089262,0.002106113822848479,0.008602188901274429,0.9999606452588892,-140.0,-140.0,165.0,0.0,0.0,0.0,1.0
1.4553268,1.4124427,2.7792637,2.409903,2.575994,3.1296275,-140.37698364257812,-99.73526000976562,164.2034790039063,-0.00015744535110293439,0.00251597151996177,0.010190581336059669,0.99994490143856,-140.0,-100.0,165.0,0.0,0.0,0.0,1.0
1.5647018,1.3877254,2.7551281,2.5152497,2.3362632,2.898241,-140.2031707763672,-60.41328430175781,164.20500488281255,-0.0001354846687613549,0.0022158844990238613,0.010843107152089982,0.9999387469009416,-140.0,-60.0,165.0,0.0,0.0,0.0,1.0
1.7039211,1.3924232,2.758567,2.649527,2.1183524,2.6873665,-139.96133422851562,-20.0169677734375,164.3929321289063,0.00025228810915996707,0.002012116376578566,0.01092547760383792,0.9999382625834196,-140.0,-20.0,165.0,0.0,0.0,0.0,1.0
1.8696926,1.4272819,2.7897332,2.7968068,1.9159598,2.4964485,-140.12196350097656,19.94529151916504,164.2571899414063,-0.0003119013754754412,0.002829788475997355,0.010517598939670966,0.9999406394625476,-140.0,20.0,165.0,0.0,0.0,0.0,1.0
2.0567043,1.4920955,2.8385613,2.9763951,1.7453647,2.334032,-139.92417907714844,59.88896942138672,164.2715942382813,0.00023166677864701866,0.0027155454507352818,0.012368385315973198,0.9999197987343332,-140.0,60.0,165.0,0.0,0.0,0.0,1.0
2.2703273,1.5858474,2.9233677,3.1770558,1.6041923,2.1912727,-139.93548583984375,99.87018585205078,164.3476440429688,0.00014844831210004703,0.0025600624840192297,0.012055196950919334,0.9999240458968821,-140.0,100.0,165.0,0.0,0.0,0.0,1.0
