leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,meas_pos_x,meas_pos_y,meas_pos_z,meas_ori_x,meas_ori_y,meas_ori_z,meas_ori_w,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_ori_x,cmd_ori_y,cmd_ori_z,cmd_ori_w
2.52228,1.8846737,2.6117532,3.0495512,1.5089146,1.8696309,-80.11927032470703,129.7304229736328,164.3995239257813,0.00013142054832002956,0.002524673994263767,0.010694599592326364,0.9999396186718902,-80.0,129.99999999999997,165.0,0.0,0.0,0.0,1.0
2.5592082,1.902618,2.6328123,3.0938036,1.488958,1.8541337,-80.82614135742188,136.1666259765625,164.38701171875005,-8.037840165423872e-06,0.0023900800496320126,0.01131216471881707,0.9999331586075791,-80.49246637619449,136.2573786016092,165.0,0.0,0.0,0.0,1.0
2.5951006,1.9159238,2.6607034,3.1381743,1.471704,1.8425828,-82.56109619140625,142.73809814453125,164.29008789062505,0.0001826195896425313,0.002450866761881057,0.011377001689397806,0.9999322570266576,-81.95773934819385,142.3606797749979,165.0,0.0,0.0,0.0,1.0
2.6290324,1.9264219,2.6926858,3.182793,1.4551215,1.8366529,-84.9092788696289,148.69393920898438,164.2559692382813,0.0003061783174290393,0.0028360000079825907,0.01106525095522192,0.9999347084307346,-84.35973903246527,148.15961998958187,165.0,0.0,0.0,0.0,1.0
2.6573527,1.9395425,2.7319105,3.2310107,1.440311,1.8342172,-87.75341796875,154.30496215820312,164.3939086914063,-8.808920403893401e-05,0.002541872177745031,0.011904194520382319,0.9999259086817824,-87.6393202250021,153.5114100916989,165.0,0.0,0.0,0.0,1.0
2.6810935,1.933624,2.7737043,3.2791655,1.4273715,1.83667,-92.58386993408203,159.8037567138672,164.07060546875005,0.0005615255793279118,0.0025365632450468295,0.01132293924928538,0.999932517814611,-91.71572875253808,158.28427124746187,165.0,0.0,0.0,0.0,1.0
2.6952536,1.9269102,2.8171384,3.3170722,1.4243827,1.8568918,-97.33033752441406,161.87196350097656,164.4511596679688,0.0006745371145374789,0.002936584379954393,0.010854398458041523,0.9999365413915585,-96.48858990830107,162.36067977499786,165.0,0.0,0.0,0.0,1.0
2.7074015,1.9198892,2.86367,3.3630278,1.414741,1.8697988,-103.10319519042969,165.1953125,164.33720703125005,0.0004339496053804481,0.0029775601707405295,0.011352597509469535,0.9999310275968181,-101.84038001041813,165.64026096753472,165.0,0.0,0.0,0.0,1.0
2.7161906,1.9080483,2.9108884,3.4043753,1.4101596,1.884081,-108.70741271972656,167.54278564453125,164.3315307617188,0.00021071414916394983,0.0026543663379994735,0.010585097170416696,0.9999404308338848,-107.6393202250021,168.04226065180612,165.0,0.0,0.0,0.0,1.0
2.718325,1.8922211,2.9555032,3.4438155,1.4066825,1.9073373,-114.94557189941406,169.15667724609375,164.23332519531255,0.0005150219963894122,0.0027697600510424515,0.010791156545912528,0.9999378080698393,-113.74262139839075,169.50753362380547,165.0,0.0,0.0,0.0,1.0
2.7208292,1.8829018,2.9927976,3.4714873,1.4087577,1.9298269,-119.6279525756836,169.66375732421875,164.5112182617188,0.00016869055470912392,0.003132343712140689,0.01074835185869329,0.9999373163008151,-120.0,169.99999999999997,165.0,0.0,0.0,0.0,1.0
2.7102683,1.8603989,3.0329587,3.49947,1.4115024,1.9565316,-125.9630126953125,169.30984497070312,164.4059936523438,0.0004259075709558868,0.003031724676830366,0.01115257979485253,0.9999331213521853,-126.25737860160923,169.50753362380547,165.0,0.0,0.0,0.0,1.0
2.694155,1.8365151,3.0684183,3.519766,1.4168658,1.9851553,-131.7784881591797,167.8482208251953,164.47185058593755,0.00033653321613969433,0.003176117254204199,0.010918820429770451,0.9999352896137986,-132.3606797749979,168.04226065180612,165.0,0.0,0.0,0.0,1.0
2.6722453,1.8075253,3.102842,3.535147,1.4258475,2.0176222,-138.586669921875,165.15089416503906,164.39067382812505,0.00027164286033810436,0.0031058837140443604,0.010983368088569196,0.9999348201967347,-138.15961998958187,165.64026096753472,165.0,0.0,0.0,0.0,1.0
2.6464884,1.7803627,3.1291502,3.5411284,1.437015,2.0485098,-143.55267333984375,161.8661346435547,164.48881835937505,6.414520166622085e-05,0.0030743309085349995,0.01075612861882366,0.9999374280665236,-143.51141009169893,162.36067977499786,165.0,0.0,0.0,0.0,1.0
2.6193259,1.7480141,3.1456888,3.5474513,1.4439387,2.072924,-148.43470764160156,159.00694274902344,164.1306030273438,0.00048130012087703895,0.003037182633701798,0.011201759318652854,0.9999325327167777,-148.2842712474619,158.28427124746187,165.0,0.0,0.0,0.0,1.0
2.5873435,1.72006,3.1608083,3.5410063,1.4589286,2.1093638,-153.23435974121094,153.43309020996094,164.18901367187505,1.6722382924022776e-05,0.0032266730454235722,0.012365514647769993,0.9999183383023413,-152.3606797749979,153.5114100916989,165.0,0.0,0.0,0.0,1.0
2.5487692,1.6924187,3.1665037,3.5258105,1.4754252,2.1323721,-155.8964080810547,148.55010986328125,164.2310668945313,0.00027174779926817435,0.0029861164490231932,0.011632836279157633,0.9999278385232794,-155.64026096753472,148.15961998958187,165.0,0.0,0.0,0.0,1.0
2.510136,1.6649472,3.1682718,3.5046484,1.4916301,2.158129,-159.1389617919922,142.3434295654297,164.07548828125005,-0.00027475498787726815,0.003059309730115411,0.011776629003172832,0.9999259310351802,-158.04226065180615,142.3606797749979,165.0,0.0,0.0,0.0,1.0
