leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,meas_pos_x,meas_pos_y,meas_pos_z,meas_ori_x,meas_ori_y,meas_ori_z,meas_ori_w,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_ori_x,cmd_ori_y,cmd_ori_z,cmd_ori_w
1.3400929,1.6601855,3.424498,2.5745173,3.2463405,3.8789546,-183.28012084960938,-185.98178100585938,172.12565917968755,-0.018512298707908294,0.0007334447734610296,0.003945236137985269,0.9998205813742851,-180.0,-180.0,165.0,0.0,0.0,0.0,1.0
1.3976471,1.5806547,3.3493676,2.6256018,2.9548364,3.6057613,-182.97657775878906,-144.42501831054688,172.6996948242188,-0.01921937547385325,0.001006453709224846,0.005356862772744096,0.9998004386380847,-180.0,-140.0,165.0,0.0,0.0,0.0,1.0
1.4861481,1.5176665,3.301392,2.704215,2.6851735,3.3454483,-183.26742553710938,-102.45460510253906,172.8112670898438,-0.0191431912869793,0.001143091079524431,0.005393891463183193,0.9998015489955615,-180.0,-100.0,165.0,0.0,0.0,0.0,1.0
1.6013234,1.4900194,3.2805772,2.8092127,2.436648,3.1108882,-183.91802978515625,-61.125518798828125,172.6589233398438,-0.019304376309040208,0.00114778344408974,0.005467887020310591,0.9997980390693922,-180.0,-60.0,165.0,0.0,0.0,0.0,1.0
1.7465241,1.4953276,3.2808843,2.9394445,2.2100263,2.8975723,-183.5728759765625,-19.142677307128906,172.81486816406255,-0.019110222143624254,0.0008666493117353651,0.005797217550665559,0.9998002001718884,-180.0,-20.0,165.0,0.0,0.0,0.0,1.0
1.9192536,1.5292631,3.3123155,3.0946836,2.009028,2.707875,-183.8539276123047,22.051515579223633,172.88273925781255,-0.018594702455565472,0.0010934669847233616,0.005850649846636237,0.9998093885313841,-180.0,20.0,165.0,0.0,0.0,0.0,1.0
2.116153,1.5932909,3.3649907,3.2742243,1.8329644,2.5437496,-184.23812866210938,63.324153900146484,172.59489746093755,-0.018428753153051643,0.0011548663662726158,0.006409209341523306,0.9998089712192392,-180.0,60.0,165.0,0.0,0.0,0.0,1.0
2.3397858,1.6872202,3.4445844,3.4757624,1.6846395,2.402455,-184.2245330810547,104.99744415283203,172.35869140625005,-0.01800208248168472,0.0013091812192827811,0.006415795375584937,0.9998165051670433,-180.0,100.0,165.0,0.0,0.0,0.0,1.0
2.5858796,1.8085009,3.550198,3.700616,1.5640302,2.291127,-184.75718688964844,146.42848205566406,171.8301879882813,-0.017349732567380535,0.001662485451532675,0.0061092305617355645,0.999829434213212,-180.0,140.0,165.0,0.0,0.0,0.0,1.0
2.8512013,1.9592197,3.6771836,3.9459143,1.4731107,2.2053268,-184.54757690429688,187.59397888183594,171.5407592773438,-0.016925633512588644,0.001773354450928568,0.005769878060546344,0.9998385254308658,-180.0,180.0,165.0,0.0,0.0,0.0,1.0
1.3620653,1.7626024,3.1287847,2.3329992,3.2141767,3.7093532,-142.09420776367188,-186.16966247558594,172.1423217773438,-0.017992620661523667,0.0007298428968481784,0.003773717939525236,0.9998307233827125,-140.0,-180.0,165.0,0.0,0.0,0.0,1.0
1.4205389,1.6811186,3.0584092,2.3854303,2.9223063,3.42998,-142.22268676757812,-144.15257263183594,172.6673461914063,-0.01878300728276203,0.0011488779485903163,0.003973520297865055,0.9998150296802524,-140.0,-140.0,165.0,0.0,0.0,0.0,1.0
1.5065336,1.6217505,3.0044541,2.4660559,2.650633,3.1699111,-142.06747436523438,-102.47396087646484,172.8012573242188,-0.018626191804230426,0.0012312828937603767,0.005247644258724309,0.9998119892763623,-140.0,-100.0,165.0,0.0,0.0,0.0,1.0
1.6229887,1.5946337,2.9823556,2.5732965,2.4006999,2.932118,-142.24661254882812,-61.05268096923828,172.8688842773438,-0.018510289448603032,0.0010969246760751707,0.00546434906497923,0.9998131368808777,-140.0,-60.0,165.0,0.0,0.0,0.0,1.0
1.7668505,1.598477,2.9858003,2.7061548,2.175236,2.7114148,-142.17051696777344,-19.657350540161133,172.86723632812505,-0.01857923882131214,0.0009190084024829778,0.005724636435634194,0.9998105808508385,-140.0,-20.0,165.0,0.0,0.0,0.0,1.0
1.9394579,1.6323534,3.0154252,2.8634577,1.9721472,2.522328,-142.2324981689453,21.646862030029297,172.91350097656255,-0.01799595272318489,0.0014178260478690731,0.005291439672454775,0.9998230554078705,-140.0,20.0,165.0,0.0,0.0,0.0,1.0
2.1371489,1.6972319,3.0717149,3.0469885,1.7962878,2.3560681,-142.62228393554688,63.094966888427734,172.83696289062505,-0.017833730663381307,0.001386823491472403,0.006388662167660462,0.9998195977206766,-140.0,60.0,165.0,0.0,0.0,0.0,1.0
2.358159,1.7909819,3.1515489,3.2538652,1.6486247,2.211474,-142.58416748046875,104.52659606933594,172.6033813476563,-0.01747745246495301,0.0011755893537767083,0.005814543926053778,0.9998296577687359,-140.0,100.0,165.0,0.0,0.0,0.0,1.0
2.6037645,1.9109179,3.2583528,3.4810114,1.5255778,2.0986218,-142.81753540039062,146.22799682617188,172.2130004882813,-0.016825720492012128,0.0017001729058975814,0.005618727301845049,0.9998412080694603,-140.0,140.0,165.0,0.0,0.0,0.0,1.0
2.8713427,2.0577686,3.389624,3.7301664,1.4346945,2.0124993,-142.74205017089844,187.4960479736328,171.83464355468755,-0.01627801004076285,0.0019813230268998427,0.0054338461757265895,0.9998507760884975,-140.0,180.0,165.0,0.0,0.0,0.0,1.0
