leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.7069552,2.1893163,2.2548528,2.0739675,1.8465027,0.8197367,7.788029193878174,1.4981296062469482,710.5447387695312,-0.10405270274937264,-0.12651566649577226,0.019250704366936412,0.9863043300666661
1.0117018,2.0782914,2.1029668,1.8344063,1.7123474,1.0923197,8.164216041564941,0.4277421534061432,710.0869140625,-0.08163393097255774,-0.07500128572104796,0.012008329649988509,0.9937638053894778
1.8080885,1.0345615,1.0150473,1.9045337,2.015448,2.0281107,6.270543575286865,-2.5500271320343018,710.0327758789062,0.10845407809637989,-0.001955739972583791,0.005684615357012109,0.9940832829753735
1.4316866,2.0510697,2.0791934,2.2895436,2.2231526,1.53525,7.502762317657471,-0.7702602744102478,733.0911254882812,-0.02342258772019111,-0.07849553162469262,0.008399955238134174,0.9966038687975395
1.9714186,2.71312,2.5987246,1.1793139,1.2280352,1.9060404,7.0828657150268555,-2.3041164875030518,732.7330932617188,-0.13322393963155643,0.07841160223439181,-0.001300203763178704,0.9879783950375891
2.2971022,1.9367641,1.8232443,1.5394118,1.5632994,2.4004252,6.01335334777832,-4.17310905456543,732.2791137695312,0.004137867250011542,0.08294090221309171,0.011584580863662692,0.99647853375573
2.8361647,1.7355177,1.6216147,2.0150704,2.062689,3.1073363,4.264484882354736,-6.294524669647217,755.3277587890625,0.09327059257565191,0.0986521374069284,0.021605987239823276,0.9905057004940748
2.2892306,1.6175978,1.6059268,2.6179128,2.737738,2.5325053,5.295844078063965,-4.107674598693848,755.8401489257812,0.11008557836292872,-0.02468288890254603,0.005805534492244584,0.9935986178633273
2.1962721,2.217154,2.170931,2.215691,2.2302916,2.3312304,6.272188186645508,-3.2452948093414307,755.83544921875,0.004113896242311414,0.005840129601181674,0.009444251179837965,0.9999298875787072
2.2560275,2.654282,2.6297305,2.6338468,2.6156676,2.3943427,5.928447246551514,-4.002867698669434,778.9127197265625,-0.022178048859384604,-0.029249515530176892,0.010189660685910887,0.9992741245080506
2.3547823,3.2870946,3.1974452,1.9875416,1.9903643,2.3744242,7.309047698974609,-3.7468326091766357,778.747802734375,-0.12960335982320345,0.03971202659415303,0.006012094686027949,0.9907521205410631
3.140486,2.1591017,2.0287192,2.2109303,2.2456725,3.3874228,4.119472503662109,-7.074705123901367,778.2221069335938,0.07169005814209942,0.1090513717979026,0.022616091245980085,0.9911896125491438
1.9620191,3.0531447,1.4760419,1.210871,1.9923766,1.226919,159.73731994628906,-3.112189531326294,707.6658935546875,-0.08416379081383422,-0.023889637376154006,0.010661442596999205,0.9961084701348001
1.7911836,2.51207,0.945282,1.9610521,2.7051451,1.0802554,159.00259399414062,-3.24666166305542,708.059814453125,0.015751805191551334,-0.11893096837888183,0.0055231870690547365,0.9927622039297452
1.9721509,3.22917,1.660677,1.023859,1.830023,1.2129344,160.7200469970703,-3.3998310565948486,707.2922973632812,-0.11690596122336648,-0.006830287972143824,0.01136887566337238,0.9930544242244818
2.3774872,3.1745455,1.8398132,1.8382493,1.9849303,1.305147,138.37364196777344,49.92304992675781,731.1177978515625,-0.06952476174496063,-0.02415573600354394,0.014065289050608708,0.9971885349527725
3.1606274,2.3027194,0.78707886,1.8163395,2.082308,2.3685932,134.65811157226562,47.01689910888672,731.6101684570312,0.10338155012495462,0.07167651140201214,0.020537728444998526,0.9918432013805416
2.8102264,2.5437453,1.1053791,1.952692,2.2022154,1.8910846,136.05612182617188,47.72740936279297,731.3436889648438,0.05251051841641047,0.013159524420101019,0.013402406239919638,0.9984437112510556
