Commanded Tilt X (deg),Commanded Tilt Y (deg),Measured Tilt X (deg),Measured Tilt Y (deg),Position X (mm),Position Y (mm)
0.0,0.0,0.0,0.0,-0.001245126789172163,-0.08464356106569272
0.0,0.0,5.0,0.0,5.20627423087567,-0.11210937255422054
0.0,0.0,3.5355339059327378,3.5355339059327373,3.66269544779557,3.5078855848177817
0.0,0.0,3.0616169978683826e-16,5.0,0.03171384432901859,5.155834781057553
0.0,0.0,-3.5355339059327373,3.5355339059327378,-3.6596923082905204,3.568310560857592
0.0,0.0,-5.0,6.123233995736765e-16,-5.390038985686623,0.21748047869992576
0.0,0.0,-3.5355339059327386,-3.5355339059327373,-3.7036377454103824,-3.6442138158722557
0.0,0.0,-9.184850993605148e-16,-5.0,-0.1275878849828053,-5.176806666559213
0.0,0.0,3.535533905932737,-3.5355339059327386,3.6791749867155183,-3.638720636232273
0.0,0.0,10.0,0.0,10.386328544114246,-0.24394531372288972
0.0,0.0,7.0710678118654755,7.071067811865475,7.447485120686288,7.072949352769657
0.0,0.0,6.123233995736765e-16,10.0,0.28439941407713776,10.396313643449115
0.0,0.0,-7.071067811865475,7.0710678118654755,-7.367578106551712,7.298168864235304
0.0,0.0,-10.0,1.224646799147353e-15,-10.559106512758408,-0.029711911408210622
0.0,0.0,-7.071067811865477,-7.071067811865475,-7.537866248504355,-7.132373068864373
0.0,0.0,-1.8369701987210296e-15,-10.0,-0.0891357342246318,-10.323901048184245
0.0,0.0,7.071067811865474,-7.071067811865477,7.463964659606236,-7.41801755636983
100.0,0.0,0.0,0.0,-0.04519040382647553,0.00324707305019335
100.0,0.0,5.0,0.0,5.255712847635515,-0.24943847668760594
100.0,0.0,3.5355339059327378,3.5355339059327373,3.640722729235639,3.5298583033777127
100.0,0.0,3.0616169978683826e-16,5.0,0.06467286880806222,5.013012537304824
100.0,0.0,-3.5355339059327373,3.5355339059327378,-3.714624104690348,3.540844662657678
100.0,0.0,-5.0,6.123233995736765e-16,-5.225244023373963,-0.15056152331239406
100.0,0.0,-3.5355339059327386,-3.5355339059327373,-3.791528406206695,-3.7705567341484474
100.0,0.0,-9.184850993605148e-16,-5.0,-0.07814942830551917,-5.396532998384877
100.0,0.0,3.535533905932737,-3.5355339059327386,3.5857909328358115,-3.863940574584743
100.0,0.0,10.0,0.0,10.298437669874522,-0.21098632843072243
100.0,0.0,7.0710678118654755,7.071067811865475,7.43100558176634,7.023510736009812
100.0,0.0,6.123233995736765e-16,10.0,0.004248052850810592,10.099682796663693
100.0,0.0,-7.071067811865475,7.0710678118654755,-7.378564465831678,7.237743888195494
100.0,0.0,-10.0,1.224646799147353e-15,-10.56459969239839,-0.08464356106569272
100.0,0.0,-7.071067811865477,-7.071067811865475,-7.477441272464545,-7.429003915649796
100.0,0.0,-1.8369701987210296e-15,-10.0,-0.001245126789172163,-10.598559176409736
100.0,0.0,7.071067811865474,-7.071067811865477,7.326636022380313,-7.549853867729416
70.71067811865476,70.71067811865474,0.0,0.0,-0.012231432708284782,-0.13408203108319205
70.71067811865476,70.71067811865474,5.0,0.0,5.272192386555463,-0.17253418017383892
70.71067811865476,70.71067811865474,3.5355339059327378,3.5355339059327373,3.690161345995484,3.595776459057505
70.71067811865476,70.71067811865474,3.0616169978683826e-16,5.0,0.020727538409905967,5.06245115406467
70.71067811865476,70.71067811865474,-3.5355339059327373,3.5355339059327378,-3.61574708461407,3.4419678560248115
70.71067811865476,70.71067811865474,-5.0,6.123233995736765e-16,-5.208764484454014,-0.13408203108319205
70.71067811865476,70.71067811865474,-3.5355339059327386,-3.5355339059327373,-3.6212402642540527,-3.6936524326321005
70.71067811865476,70.71067811865474,-9.184850993605148e-16,-5.0,0.08664553400714035,-5.319628910311942
70.71067811865476,70.71067811865474,3.535533905932737,-3.5355339059327386,3.8000245119083162,-4.02324235725742
70.71067811865476,70.71067811865474,10.0,0.0,10.391820869980583,-0.2604248026170384
70.71067811865476,70.71067811865474,7.0710678118654755,7.071067811865475,7.496923737446132,7.007031197089864
70.71067811865476,70.71067811865474,6.123233995736765e-16,10.0,0.13059081104444373,10.116162335583642
70.71067811865476,70.71067811865474,-7.071067811865475,7.0710678118654755,-7.42250990295154,7.072949352769657
70.71067811865476,70.71067811865474,-10.0,1.224646799147353e-15,-10.498681536718598,0.04169921046815363
70.71067811865476,70.71067811865474,-7.071067811865477,-7.071067811865475,-7.4554685539046135,-7.2806884922570845
70.71067811865476,70.71067811865474,-1.8369701987210296e-15,-10.0,-0.006738306429154918,-10.483203257743744
70.71067811865476,70.71067811865474,7.071067811865474,-7.071067811865477,7.337622381660279,-7.4399902749297615
6.123233995736766e-15,100.0,0.0,0.0,0.07565917472717484,-0.013232425849115248
6.123233995736766e-15,100.0,5.0,0.0,5.365576013548347,-0.30437011967498145
6.123233995736766e-15,100.0,3.5355339059327378,3.5355339059327373,3.8219972304682472,3.332104476668568
6.123233995736766e-15,100.0,3.0616169978683826e-16,5.0,0.18002932108258274,5.056957974424686
6.123233995736766e-15,100.0,-3.5355339059327373,3.5355339059327378,-3.48940437978129,3.3540771952284993
6.123233995736766e-15,100.0,-5.0,6.123233995736765e-16,-5.285668999413773,0.030712877868614565
6.123233995736766e-15,100.0,-3.5355339059327386,-3.5355339059327373,-3.0884033332796066,-3.446459989163111
6.123233995736766e-15,100.0,-9.184850993605148e-16,-5.0,0.16354978216263447,-5.127368049799369
6.123233995736766e-15,100.0,3.535533905932737,-3.5355339059327386,3.8549558814213203,-3.9353514830176954
