0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
0.000000,0.005000,0.010000,0.015000,0.020000,0.025000,0.030000,0.035000,0.040000,0.045000,0.050000,0.055000,0.060000,0.065000,0.070000,0.075000,0.080000,0.085000,0.090000,0.095000,0.100000,0.105000,0.110000,0.115000,0.120000,0.125000,0.130000,0.135000,0.140000,0.145000,0.150000,0.155000,0.160000,0.165000,0.170000,0.175000,0.180000,0.185000,0.190000,0.195000,0.200000,0.205000,0.210000,0.215000,0.220000,0.225000,0.230000,0.235000,0.240000,0.245000,0.250000,0.255000,0.260000,0.265000,0.270000,0.275000,0.280000,0.285000,0.290000,0.295000,0.300000,0.305000,0.310000,0.315000,0.320000,0.325000,0.330000,0.335000,0.340000,0.345000,0.350000,0.355000,0.360000,0.365000,0.370000,0.375000,0.380000,0.385000,0.390000,0.395000,0.400000,0.405000,0.410000,0.415000,0.420000,0.425000,0.430000,0.435000,0.440000,0.445000,0.450000,0.455000,0.460000,0.465000,0.470000,0.475000,0.480000,0.485000,0.490000,0.495000,0.500000,0.505000,0.510000,0.515000,0.520000,0.525000,0.530000,0.535000,0.540000,0.545000,0.550000,0.555000,0.560000,0.565000,0.570000,0.575000,0.580000,0.585000,0.590000,0.595000,0.600000,0.605000,0.610000,0.615000,0.620000,0.625000,0.630000,0.635000,0.640000,0.645000,0.650000,0.655000,0.660000,0.665000,0.670000,0.675000,0.680000,0.685000,0.690000,0.695000,0.700000,0.705000,0.710000,0.715000,0.720000,0.725000,0.730000,0.735000,0.740000,0.745000,0.750000,0.755000,0.760000,0.765000,0.770000,0.775000,0.780000,0.785000,0.790000,0.795000,0.800000,0.805000,0.810000,0.815000,0.820000,0.825000,0.830000,0.835000,0.840000,0.845000,0.850000,0.855000,0.860000,0.865000,0.870000,0.875000,0.880000,0.885000,0.890000,0.895000,0.900000,0.905000,0.910000,0.915000,0.920000,0.925000,0.930000
0.000000,0.000211,0.000845,0.001902,0.003382,0.005284,0.007609,0.010357,0.013528,0.017121,0.021137,0.025576,0.030437,0.035721,0.041428,0.047558,0.054111,0.061086,0.068484,0.076304,0.084548,0.093214,0.102303,0.111814,0.121749,0.132106,0.142886,0.154088,0.165714,0.177762,0.190019,0.202126,0.213654,0.224578,0.234899,0.244615,0.253728,0.262237,0.270142,0.277443,0.284140,0.290233,0.295722,0.300607,0.304889,0.308566,0.311640,0.314110,0.315975,0.317237,0.317895,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.317973,0.317620,0.316859,0.315691,0.314114,0.312130,0.309737,0.306936,0.303728,0.300111,0.296087,0.291654,0.286814,0.281565,0.275909,0.269845,0.263372,0.256492,0.249204,0.241507,0.233403,0.224891,0.215971,0.206642,0.196928,0.187122,0.177316,0.167511,0.157873,0.148520,0.139452,0.130670,0.122174,0.113963,0.106038,0.098398,0.091044,0.083976,0.077193,0.070696,0.064484,0.058558,0.052918,0.047563,0.042493,0.037710,0.033211,0.028999,0.025072,0.021430,0.018075,0.015004,0.012220,0.009721,0.007507,0.005579,0.003937,0.002580,0.001509,0.000723,0.000223,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.084548,0.169095,0.253643,0.338191,0.422739,0.507286,0.591834,0.676382,0.760930,0.845477,0.930025,1.014573,1.099121,1.183668,1.268216,1.352764,1.437312,1.521859,1.606407,1.690955,1.775503,1.860050,1.944598,2.029146,2.113693,2.198241,2.282789,2.367337,2.451500,2.451500,2.366061,2.245278,2.124496,2.003713,1.882931,1.762148,1.641366,1.520583,1.399801,1.279018,1.158236,1.037453,0.916671,0.795888,0.675106,0.554323,0.433541,0.312758,0.191976,0.071193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029745,-0.111340,-0.192936,-0.274531,-0.356126,-0.437721,-0.519317,-0.600912,-0.682507,-0.764102,-0.845698,-0.927293,-1.008888,-1.090484,-1.172079,-1.253674,-1.335269,-1.416865,-1.498460,-1.580055,-1.661651,-1.743246,-1.824841,-1.906436,-1.961200,-1.961200,-1.961200,-1.956292,-1.899176,-1.842059,-1.784942,-1.727825,-1.670709,-1.613592,-1.556475,-1.499359,-1.442242,-1.385125,-1.328009,-1.270892,-1.213775,-1.156658,-1.099542,-1.042425,-0.985308,-0.928192,-0.871075,-0.813958,-0.756842,-0.699725,-0.642608,-0.585492,-0.528375,-0.471258,-0.414141,-0.357025,-0.299908,-0.242791,-0.185675,-0.128558,-0.071441,-0.014325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,0.000000,0.000000,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,0.000000,0.000000,0.000000,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.000000,0.000000,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,0.000000,0.000000,0.000000,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
187.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
