0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0.000000,0.010000,0.020000,0.030000,0.040000,0.050000,0.060000,0.070000,0.080000,0.090000,0.100000,0.110000,0.120000,0.130000,0.140000,0.150000,0.160000,0.170000,0.180000,0.190000,0.200000,0.210000,0.220000,0.230000,0.240000,0.250000,0.260000,0.270000,0.280000,0.290000,0.300000,0.310000,0.320000,0.330000,0.340000,0.350000,0.360000,0.370000,0.380000,0.390000,0.400000,0.410000,0.420000,0.430000,0.440000,0.450000,0.460000,0.470000,0.480000,0.490000,0.500000,0.510000,0.520000,0.530000,0.540000,0.550000,0.560000,0.570000,0.580000,0.590000,0.600000,0.610000,0.620000,0.630000,0.640000,0.650000,0.660000,0.670000,0.680000,0.690000,0.700000,0.710000,0.720000,0.730000,0.740000,0.750000,0.760000,0.770000,0.780000,0.790000,0.800000,0.810000,0.820000,0.830000,0.840000,0.850000,0.860000,0.870000,0.880000,0.890000,0.900000,0.910000,0.920000,0.930000,0.940000,0.950000
0.000000,0.000304,0.001217,0.002739,0.004870,0.007609,0.010957,0.014914,0.019480,0.024654,0.030437,0.036829,0.043830,0.051439,0.059657,0.068484,0.077919,0.087963,0.098616,0.109878,0.121749,0.134228,0.147316,0.161013,0.175318,0.190019,0.204480,0.218096,0.230843,0.242720,0.253728,0.263866,0.273135,0.281533,0.289063,0.295722,0.301512,0.306432,0.310483,0.313664,0.315975,0.317417,0.317989,0.293476,0.287815,0.281565,0.274729,0.267305,0.259293,0.250694,0.241507,0.231733,0.221372,0.210423,0.198890,0.187122,0.175355,0.163622,0.152227,0.141243,0.130670,0.120509,0.110759,0.101420,0.092492,0.083976,0.075871,0.068177,0.060894,0.054023,0.047563,0.041514,0.035876,0.030650,0.025834,0.021430,0.017438,0.013856,0.010686,0.007927,0.005579,0.003643,0.002117,0.001003,0.000301,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.060874,0.121749,0.182623,0.243497,0.304372,0.365246,0.426121,0.486995,0.547869,0.608744,0.669618,0.730492,0.791367,0.852241,0.913116,0.973990,1.034864,1.095739,1.156613,1.217487,1.278362,1.339236,1.400111,1.460985,1.470900,1.405142,1.318179,1.231216,1.144252,1.057289,0.970326,0.883362,0.796399,0.709435,0.622472,0.535509,0.448545,0.361582,0.274618,0.187655,0.100692,0.013728,-0.536793,-0.595542,-0.654290,-0.713039,-0.771787,-0.830536,-0.889285,-0.948033,-1.006782,-1.065530,-1.124279,-1.176720,-1.176720,-1.176720,-1.160067,-1.118943,-1.077819,-1.036695,-0.995571,-0.954447,-0.913323,-0.872199,-0.831075,-0.789951,-0.748827,-0.707703,-0.666579,-0.625455,-0.584331,-0.543207,-0.502083,-0.460959,-0.419835,-0.378711,-0.337587,-0.296463,-0.255339,-0.214215,-0.173091,-0.131967,-0.090843,-0.049719,-0.008595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,6.087437,0.000000,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-8.696339,-5.874860,-5.874860,-5.874860,-5.874860,-5.874860,-5.874860,-5.874860,-5.874860,-5.874860,-5.874860,-5.874860,0.000000,0.000000,0.000000,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,4.112402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.011194,0.000000,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.015992,-0.010803,-0.010803,-0.010803,-0.010803,-0.010803,-0.010803,-0.010803,-0.010803,-0.010803,-0.010803,-0.010803,0.000000,0.000000,0.000000,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.007562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
