0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279
0.000000,0.003333,0.006667,0.010000,0.013333,0.016667,0.020000,0.023333,0.026667,0.030000,0.033333,0.036667,0.040000,0.043333,0.046667,0.050000,0.053333,0.056667,0.060000,0.063333,0.066667,0.070000,0.073333,0.076667,0.080000,0.083333,0.086667,0.090000,0.093333,0.096667,0.100000,0.103333,0.106667,0.110000,0.113333,0.116667,0.120000,0.123333,0.126667,0.130000,0.133333,0.136667,0.140000,0.143333,0.146667,0.150000,0.153333,0.156667,0.160000,0.163333,0.166667,0.170000,0.173333,0.176667,0.180000,0.183333,0.186667,0.190000,0.193333,0.196667,0.200000,0.203333,0.206667,0.210000,0.213333,0.216667,0.220000,0.223333,0.226667,0.230000,0.233333,0.236667,0.240000,0.243333,0.246667,0.250000,0.253333,0.256667,0.260000,0.263333,0.266667,0.270000,0.273333,0.276667,0.280000,0.283333,0.286667,0.290000,0.293333,0.296667,0.300000,0.303333,0.306667,0.310000,0.313333,0.316667,0.320000,0.323333,0.326667,0.330000,0.333333,0.336667,0.340000,0.343333,0.346667,0.350000,0.353333,0.356667,0.360000,0.363333,0.366667,0.370000,0.373333,0.376667,0.380000,0.383333,0.386667,0.390000,0.393333,0.396667,0.400000,0.403333,0.406667,0.410000,0.413333,0.416667,0.420000,0.423333,0.426667,0.430000,0.433333,0.436667,0.440000,0.443333,0.446667,0.450000,0.453333,0.456667,0.460000,0.463333,0.466667,0.470000,0.473333,0.476667,0.480000,0.483333,0.486667,0.490000,0.493333,0.496667,0.500000,0.503333,0.506667,0.510000,0.513333,0.516667,0.520000,0.523333,0.526667,0.530000,0.533333,0.536667,0.540000,0.543333,0.546667,0.550000,0.553333,0.556667,0.560000,0.563333,0.566667,0.570000,0.573333,0.576667,0.580000,0.583333,0.586667,0.590000,0.593333,0.596667,0.600000,0.603333,0.606667,0.610000,0.613333,0.616667,0.620000,0.623333,0.626667,0.630000,0.633333,0.636667,0.640000,0.643333,0.646667,0.650000,0.653333,0.656667,0.660000,0.663333,0.666667,0.670000,0.673333,0.676667,0.680000,0.683333,0.686667,0.690000,0.693333,0.696667,0.700000,0.703333,0.706667,0.710000,0.713333,0.716667,0.720000,0.723333,0.726667,0.730000,0.733333,0.736667,0.740000,0.743333,0.746667,0.750000,0.753333,0.756667,0.760000,0.763333,0.766667,0.770000,0.773333,0.776667,0.780000,0.783333,0.786667,0.790000,0.793333,0.796667,0.800000,0.803333,0.806667,0.810000,0.813333,0.816667,0.820000,0.823333,0.826667,0.830000,0.833333,0.836667,0.840000,0.843333,0.846667,0.850000,0.853333,0.856667,0.860000,0.863333,0.866667,0.870000,0.873333,0.876667,0.880000,0.883333,0.886667,0.890000,0.893333,0.896667,0.900000,0.903333,0.906667,0.910000,0.913333,0.916667,0.920000,0.923333,0.926667,0.930000
0.000000,0.000094,0.000376,0.000845,0.001503,0.002349,0.003382,0.004603,0.006012,0.007609,0.009394,0.011367,0.013528,0.015876,0.018413,0.021137,0.024049,0.027149,0.030437,0.033913,0.037577,0.041428,0.045468,0.049695,0.054111,0.058714,0.063505,0.068484,0.073650,0.079005,0.084548,0.090278,0.096197,0.102303,0.108597,0.115079,0.121749,0.128607,0.135652,0.142886,0.150307,0.157916,0.165714,0.173699,0.181847,0.190019,0.198149,0.206035,0.213654,0.221004,0.228086,0.234899,0.241444,0.247720,0.253728,0.259468,0.264939,0.270142,0.275076,0.279742,0.284140,0.288269,0.292130,0.295722,0.299046,0.302102,0.304889,0.307408,0.309658,0.311640,0.313353,0.314799,0.315975,0.316884,0.317524,0.317895,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.318000,0.317901,0.317620,0.317158,0.316515,0.315691,0.314685,0.313498,0.312130,0.310580,0.308849,0.306936,0.304843,0.302568,0.300111,0.297474,0.294655,0.291654,0.288473,0.285110,0.281565,0.277840,0.273933,0.269845,0.265575,0.261124,0.256492,0.251678,0.246684,0.241507,0.236150,0.230611,0.224891,0.218989,0.212907,0.206642,0.200197,0.193660,0.187122,0.180585,0.174048,0.167511,0.161054,0.154723,0.148520,0.142443,0.136493,0.130670,0.124974,0.119405,0.113963,0.108648,0.103460,0.098398,0.093464,0.088657,0.083976,0.079422,0.074996,0.070696,0.066523,0.062477,0.058558,0.054766,0.051101,0.047563,0.044151,0.040867,0.037710,0.034679,0.031776,0.028999,0.026349,0.023826,0.021430,0.019162,0.017019,0.015004,0.013116,0.011355,0.009721,0.008213,0.006833,0.005579,0.004453,0.003453,0.002580,0.001834,0.001215,0.000723,0.000358,0.000120,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.056365,0.112730,0.169095,0.225461,0.281826,0.338191,0.394556,0.450921,0.507286,0.563652,0.620017,0.676382,0.732747,0.789112,0.845477,0.901843,0.958208,1.014573,1.070938,1.127303,1.183668,1.240034,1.296399,1.352764,1.409129,1.465494,1.521859,1.578224,1.634590,1.690955,1.747320,1.803685,1.860050,1.916415,1.972781,2.029146,2.085511,2.141876,2.198241,2.254606,2.310972,2.367337,2.423702,2.451500,2.451500,2.406321,2.325800,2.245278,2.164756,2.084235,2.003713,1.923192,1.842670,1.762148,1.681627,1.601105,1.520583,1.440062,1.359540,1.279018,1.198497,1.117975,1.037453,0.956932,0.876410,0.795888,0.715367,0.634845,0.554323,0.473802,0.393280,0.312758,0.232237,0.151715,0.071193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002547,-0.056943,-0.111340,-0.165737,-0.220134,-0.274531,-0.328928,-0.383325,-0.437721,-0.492118,-0.546515,-0.600912,-0.655309,-0.709706,-0.764102,-0.818499,-0.872896,-0.927293,-0.981690,-1.036087,-1.090484,-1.144880,-1.199277,-1.253674,-1.308071,-1.362468,-1.416865,-1.471262,-1.525658,-1.580055,-1.634452,-1.688849,-1.743246,-1.797643,-1.852040,-1.906436,-1.960833,-1.961200,-1.961200,-1.961200,-1.961200,-1.956292,-1.918214,-1.880137,-1.842059,-1.803981,-1.765903,-1.727825,-1.689748,-1.651670,-1.613592,-1.575514,-1.537436,-1.499359,-1.461281,-1.423203,-1.385125,-1.347047,-1.308970,-1.270892,-1.232814,-1.194736,-1.156658,-1.118581,-1.080503,-1.042425,-1.004347,-0.966269,-0.928192,-0.890114,-0.852036,-0.813958,-0.775881,-0.737803,-0.699725,-0.661647,-0.623569,-0.585492,-0.547414,-0.509336,-0.471258,-0.433180,-0.395103,-0.357025,-0.318947,-0.280869,-0.242791,-0.204714,-0.166636,-0.128558,-0.090480,-0.052402,-0.014325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,16.909548,0.000000,0.000000,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,-24.156497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,-16.319056,0.000000,0.000000,0.000000,0.000000,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,11.423339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.031095,0.000000,0.000000,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,-0.044421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,-0.030009,0.000000,0.000000,0.000000,0.000000,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.021006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
280.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
