Position X (mm),Position Y (mm),Commanded Tilt X (deg),Commanded Tilt Y (deg),Measured Tilt X (deg),Measured Tilt Y (deg),
0,0,0,0,-0.0616699427464238,0.0307128778686146,
0,0,5,0,5.11289060388279,0.00324707305019335,
0,0,3.53553390593274,3.53553390593274,3.67917498671552,3.51337876445776,
0,0,3.06161699786838E-16,5,-0.100122093504597,5.18330067925747,
0,0,-3.53553390593274,3.53553390593274,-3.74758296908683,3.66718736749046,
0,0,-5,6.12323399573677E-16,-5.31862807725367,0.151562509783118,
0,0,-3.53553390593274,-3.53553390593274,-3.30812987854868,-3.46293952808306,
0,0,-9.18485099360515E-16,-5,-0.0396972775473457,-5.11088851087942,
0,0,3.53553390593274,-3.53553390593274,3.56931139391586,-3.67167971407217,
0,0,10,0,10.3313967477144,-0.183520507770798,
0,0,7.07106781186548,7.07106781186548,7.37058145950018,7.17182658628935,
0,0,6.12323399573677E-16,10,0.66892086829802,10.1601077727035,
0,0,-7.07106781186548,7.07106781186548,-7.37856446583168,7.29267568459532,
0,0,-10,1.22464679914735E-15,-10.6085451295183,0.184521480901309,
0,0,-7.07106781186548,-7.07106781186548,-7.54885260778432,-7.19829122454417,
0,0,-1.83697019872103E-15,-10,-0.0396972775473457,-10.3129146889043,
0,0,7.07106781186547,-7.07106781186548,7.30466330382038,-7.33562028865691,
100,0,0,0,-0.15505370314144,-0.00773925954934572,
100,0,5,0,5.04147969544983,-0.106616212924558,
100,0,3.53553390593274,3.53553390593274,3.55283185499592,3.51337876445776,
100,0,3.06161699786838E-16,5,-0.15505370314144,4.95258798815184,
100,0,-3.53553390593274,3.53553390593274,-3.7915284062067,3.47492693386471,
100,0,-5,6.12323399573677E-16,-5.214257664094,-0.101123046624788,
100,0,-3.53553390593274,-3.53553390593274,-3.8189940909632,-3.65520017515222,
100,0,-9.18485099360515E-16,-5,-0.105615219783727,-5.24272482223901,
100,0,3.53553390593274,-3.53553390593274,3.47592776692298,-3.74309083594853,
100,0,10,0,10.2380126938347,-0.221972656861445,
100,0,7.07106781186548,7.07106781186548,7.32114284274033,7.06196299348969,
100,0,6.12323399573677E-16,10,0.00974123249079335,10.2370114338896,
100,0,-7.07106781186548,7.07106781186548,-7.33461902871182,7.26520978639541,
100,0,-10,1.22464679914735E-15,-10.5096678959986,0.00324707305019335,
100,0,-7.07106781186548,-7.07106781186548,-7.52687988922439,-7.31914074973696,
100,0,-1.83697019872103E-15,-10,0.141577170324409,-10.4886964373837,
100,0,7.07106781186547,-7.07106781186548,7.44199194104631,-7.4290039156498,
70.7106781186548,70.7106781186547,0,0,-0.133081064622788,-0.134082031083192,
70.7106781186548,70.7106781186547,5,0,5.2282469494356,-0.2,
70.7106781186548,70.7106781186547,3.53553390593274,3.53553390593274,3.66269544779557,3.57929692013756,
70.7106781186548,70.7106781186547,3.06161699786838E-16,5,-0.0122314327082848,4.85920393427213,
70.7106781186548,70.7106781186547,-3.53553390593274,3.53553390593274,-3.65969230829052,3.45295421530478,
70.7106781186548,70.7106781186547,-5,6.12323399573677E-16,-5.23623038265393,-0.0406982440077497,
70.7106781186548,70.7106781186547,-3.53553390593274,-3.53553390593274,-3.73110343016689,-3.59477541255582,
70.7106781186548,70.7106781186547,-9.18485099360515E-16,-5,0.0427002036089841,-5.25371075463215,
70.7106781186548,70.7106781186547,3.53553390593274,-3.53553390593274,3.73959953586851,-3.77055673414845,
70.7106781186548,70.7106781186547,10,0,10.3533694662744,-0.216479492229202,
70.7106781186548,70.7106781186547,7.07106781186548,7.07106781186548,7.39804650392644,7.13886750844945,
70.7106781186548,70.7106781186547,6.12323399573677E-16,10,0.103125019566236,10.2754636913695,
70.7106781186548,70.7106781186547,-7.07106781186548,7.07106781186548,-7.3730712861917,7.1553470473694,
70.7106781186548,70.7106781186547,-10,1.22464679914735E-15,-10.4712156385187,0.0471923901081364,
70.7106781186548,70.7106781186547,-7.07106781186548,-7.07106781186548,-7.42250990295154,-7.24223623477721,
70.7106781186548,70.7106781186547,-1.83697019872103E-15,-10,-0.0891357342246318,-10.3678464853041,
70.7106781186548,70.7106781186547,7.07106781186547,-7.07106781186548,7.27719740562047,-7.46745617312968,
6.12323399573677E-15,100,0,0,0.0756591747271748,-0.0187255921488848,
6.12323399573677E-15,100,5,0,5.29416510511539,-0.23845214742312,
6.12323399573677E-15,100,3.53553390593274,3.53553390593274,3.81101087118828,3.44196785602481,
6.12323399573677E-15,100,3.06161699786838E-16,5,0.136083990684426,4.99653299838488,
6.12323399573677E-15,100,-3.53553390593274,3.53553390593274,-3.58278800677417,3.44196785602481,
6.12323399573677E-15,100,-5,6.12323399573677E-16,-5.20876448445401,-0.0187255921488848,
6.12323399573677E-15,100,-3.53553390593274,-3.53553390593274,-3.67067866757049,-3.60026859219581,
6.12323399573677E-15,100,-9.18485099360515E-16,-5,0.0372070239690013,-5.20976574439911,
6.12323399573677E-15,100,3.53553390593274,-3.53553390593274,3.8055176915483,-3.7211181173886,
6.12323399573677E-15,100,10,0,10.58957533702,-0.353808589692481,
6.12323399573677E-15,100,7.07106781186548,7.07106781186548,7.59030779132584,7.0290039156498,
6.12323399573677E-15,100,6.12323399573677E-16,10,0.130590811044444,10.1381350541436,
6.12323399573677E-15,100,-7.07106781186548,7.07106781186548,-7.31813948979187,7.07294935276966,
6.12323399573677E-15,100,-10,1.22464679914735E-15,-10.6250246684382,-0.00224609324957618,
6.12323399573677E-15,100,-7.07106781186548,-7.07106781186548,-7.40603036403159,-7.35759258033002,
6.12323399573677E-15,100,-1.83697019872103E-15,-10,-0.0342040979073629,-10.395312383504,
6.12323399573677E-15,100,7.07106781186547,-7.07106781186548,7.39804650392644,-7.48393571204962,
-70.7106781186547,70.7106781186548,0,0,-0.0506835834664583,-0.0956298803250186,
-70.7106781186547,70.7106781186548,5,0,5.2612060272755,-0.145068360347678,
-70.7106781186547,70.7106781186548,3.53553390593274,3.53553390593274,3.70114727838863,3.57929692013756,
-70.7106781186547,70.7106781186548,3.06161699786838E-16,5,-0.0232177919882503,5.19428703853743,
-70.7106781186547,70.7106781186548,-3.53553390593274,3.53553390593274,-3.82448727060318,3.6287355368974,
