NO_OF_FRAMES	6282
NO_OF_CAMERAS	4
NO_OF_MARKERS	11
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 15:41:33.098	68320.78217323
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6					
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
19	0.06000	458.415	-659.055	26.685	-401.501	-561.494	28.588	193.438	-491.677	28.709	248.927	-182.277	32.233	-93.255	-143.305	33.303	-239.481	-529.080	33.058	468.517	252.915	640.380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20	0.06333	458.401	-659.054	26.718	-401.484	-561.488	28.624	193.459	-491.633	28.732	248.951	-182.291	32.220	-93.263	-143.343	33.214	-239.475	-529.083	33.075	466.401	252.901	658.707	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21	0.06667	458.423	-659.003	26.642	-401.510	-561.547	28.552	193.457	-491.644	28.700	248.948	-182.306	32.213	-93.223	-143.246	33.383	-239.475	-529.087	33.093	464.529	252.860	677.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0.07000	458.403	-659.049	26.570	-401.503	-561.515	28.596	193.454	-491.661	28.549	248.927	-182.335	32.178	-93.213	-143.311	33.241	-239.491	-529.018	33.140	462.842	252.826	695.693	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.07333	458.412	-659.104	26.672	-401.508	-561.539	28.572	193.447	-491.676	28.677	248.932	-182.317	32.190	-93.233	-143.301	33.301	-239.475	-529.087	33.093	461.191	252.826	713.999	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.07667	458.405	-658.999	26.660	-401.496	-561.512	28.578	193.434	-491.652	28.597	248.952	-182.292	32.201	-93.233	-143.278	33.280	-239.475	-529.082	33.074	459.620	253.081	731.914	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.08000	458.402	-659.021	26.717	-401.495	-561.504	28.611	193.432	-491.651	28.603	248.942	-182.216	32.071	-93.253	-143.232	33.444	-239.475	-529.082	33.074	457.952	252.989	750.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.08333	458.404	-658.973	26.651	-401.497	-561.476	28.586	193.427	-491.690	28.664	248.962	-182.167	31.896	-93.232	-143.228	33.369	-239.469	-529.089	33.109	456.315	253.020	768.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.08667	458.418	-659.027	26.531	-401.493	-561.525	28.556	193.432	-491.648	28.687	248.998	-182.131	31.771	-93.274	-143.236	33.261	-239.475	-529.082	33.075	454.684	252.988	786.228	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
28	0.09000	458.314	-659.157	26.672	-401.489	-561.554	28.547	193.458	-491.663	28.672	249.013	-182.088	31.657	-93.199	-143.313	33.340	-239.475	-529.083	33.075	452.975	252.928	804.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
