NO_OF_FRAMES	4967
NO_OF_CAMERAS	4
NO_OF_MARKERS	24
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-12, 16:25:26.188	56373.87175403
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5																			
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
11	0.03333	228.095	-404.153	-672.619	542.747	-397.716	-680.727	106.227	13.941	-656.808	55.148	118.641	-655.879	534.304	-99.116	-672.331	521.971	770.721	522.282	506.540	398.345	1252.409	612.849	634.965	1557.906	557.885	478.532	642.459	571.826	510.777	1320.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12	0.03667	228.084	-404.190	-672.611	542.722	-397.694	-680.810	106.215	13.954	-656.842	55.183	118.639	-655.874	534.189	-99.178	-672.456	521.297	768.406	514.101	505.938	397.630	1245.269	612.454	636.820	1557.496	559.252	479.770	655.496	572.072	510.145	1326.884	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13	0.04000	228.074	-404.128	-672.657	542.731	-397.746	-680.759	106.188	13.941	-656.828	55.194	118.666	-655.875	534.213	-99.104	-672.418	518.591	766.036	505.535	505.005	397.087	1238.137	612.153	638.634	1557.088	560.170	481.188	668.619	572.295	509.475	1333.520	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
14	0.04333	228.017	-404.202	-672.720	542.727	-397.760	-680.773	106.224	13.943	-656.803	55.198	118.667	-655.865	534.204	-99.172	-672.370	516.113	763.772	497.349	504.109	396.548	1230.767	611.801	640.460	1556.585	560.707	482.520	681.675	572.467	508.779	1340.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15	0.04667	228.047	-404.148	-672.646	542.754	-397.719	-680.735	106.243	13.955	-656.784	55.206	118.662	-655.850	534.308	-99.077	-672.134	513.572	761.477	489.198	503.349	395.947	1223.355	611.291	642.204	1555.960	561.055	483.573	694.747	572.722	508.038	1346.441	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16	0.05000	228.061	-404.178	-672.709	542.748	-397.721	-680.773	106.234	13.981	-656.813	55.210	118.695	-655.825	534.302	-99.064	-672.175	510.513	758.910	481.320	502.582	395.343	1215.830	610.995	643.899	1555.215	561.496	484.700	707.921	572.775	507.343	1352.708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17	0.05333	228.109	-404.201	-672.634	542.735	-397.713	-680.780	106.201	13.945	-656.801	55.141	118.647	-655.914	534.344	-99.087	-672.191	507.022	756.247	474.035	501.945	394.664	1208.269	610.481	645.601	1554.251	562.133	485.756	720.982	572.820	506.660	1358.876	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18	0.05667	228.030	-404.154	-672.681	542.763	-397.720	-680.768	106.212	13.930	-656.821	55.207	118.667	-655.839	534.311	-98.998	-672.088	503.362	753.820	467.038	501.221	394.041	1200.554	610.054	647.313	1553.139	564.239	486.750	734.068	572.989	506.006	1364.926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19	0.06000	228.072	-404.163	-672.670	542.762	-397.724	-680.720	106.201	13.960	-656.822	55.164	118.647	-655.906	534.224	-99.064	-672.200	499.585	751.276	459.574	500.571	393.394	1192.749	609.602	649.068	1551.986	565.059	488.372	747.038	573.138	505.352	1370.891	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20	0.06333	228.081	-404.172	-672.643	542.753	-397.727	-680.820	106.234	13.952	-656.774	55.209	118.662	-655.853	534.279	-99.047	-672.186	496.602	748.239	452.382	499.857	392.775	1184.824	609.212	650.810	1550.622	566.081	489.998	759.975	573.229	504.728	1376.801	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21	0.06667	228.037	-404.186	-672.679	542.768	-397.723	-680.776	106.202	13.962	-656.817	55.180	118.678	-655.873	534.267	-99.120	-672.278	493.768	744.965	445.443	499.203	392.166	1176.769	608.882	652.542	1549.253	567.002	491.626	772.716	573.309	504.047	1382.644	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0.07000	228.050	-404.207	-672.681	542.765	-397.726	-680.729	106.229	13.950	-656.783	55.197	118.657	-655.864	534.281	-99.074	-672.293	492.044	741.996	437.645	498.556	391.525	1168.619	608.431	654.249	1547.706	568.020	493.327	785.512	573.416	503.537	1388.131	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.07333	228.065	-404.138	-672.686	542.751	-397.687	-680.785	106.245	13.943	-656.789	55.145	118.637	-655.894	534.415	-99.049	-671.961	489.314	738.522	431.393	497.843	390.842	1160.408	608.083	655.962	1546.124	568.917	495.067	798.138	573.560	502.908	1393.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.07667	228.179	-404.086	-672.595	542.732	-397.747	-680.759	106.187	13.942	-656.821	55.197	118.684	-655.846	534.391	-99.006	-672.095	485.306	734.892	426.555	497.197	390.207	1152.079	607.658	657.687	1544.404	569.931	496.746	810.729	573.659	502.246	1398.982	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
