NO_OF_FRAMES	3649
NO_OF_CAMERAS	4
NO_OF_MARKERS	12
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 14:44:57.047	64924.73091080
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6						
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
18	0.05667	458.345	-658.822	27.099	-401.470	-561.406	28.883	193.391	-491.626	28.917	248.990	-181.885	31.325	-93.240	-143.180	33.597	-239.465	-528.905	33.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19	0.06000	458.366	-658.870	27.103	-401.476	-561.421	28.863	193.399	-491.640	28.978	249.004	-181.828	31.372	-93.258	-143.193	33.691	-239.441	-528.934	33.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20	0.06333	458.352	-658.821	27.164	-401.463	-561.407	28.911	193.401	-491.629	28.959	248.980	-181.862	31.314	-93.246	-143.190	33.695	-239.472	-528.941	33.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21	0.06667	458.374	-658.850	27.049	-401.469	-561.422	28.893	193.399	-491.641	28.961	249.005	-181.799	31.374	-93.284	-143.181	33.706	-239.472	-528.947	33.550	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0.07000	458.379	-658.888	27.127	-401.455	-561.428	28.887	193.398	-491.643	28.933	249.004	-181.841	31.426	-93.233	-143.133	33.678	-239.441	-528.933	33.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.07333	458.366	-658.907	27.174	-401.486	-561.444	28.895	193.428	-491.620	29.018	249.009	-181.818	31.405	-93.277	-143.187	33.685	-239.466	-528.944	33.547	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.07667	458.389	-658.893	27.050	-401.439	-561.421	28.866	193.400	-491.641	28.994	249.019	-181.808	31.419	-93.225	-143.192	33.622	-239.449	-528.970	33.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.08000	458.342	-658.874	27.082	-401.441	-561.351	28.947	193.395	-491.637	28.921	248.981	-181.854	31.394	-93.265	-143.167	33.738	-239.471	-528.903	33.545	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.08333	458.389	-658.860	27.057	-401.458	-561.349	28.950	193.417	-491.602	29.033	249.029	-181.797	31.433	-93.281	-143.177	33.736	-239.464	-528.900	33.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.08667	458.372	-658.876	27.006	-401.463	-561.382	28.924	193.399	-491.664	28.931	249.002	-181.841	31.341	-93.249	-143.240	33.628	-239.435	-528.936	33.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
28	0.09000	458.371	-658.884	27.090	-401.454	-561.401	28.874	193.388	-491.635	28.973	249.020	-181.808	31.375	-93.254	-143.201	33.716	-239.464	-528.900	33.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
29	0.09333	458.355	-658.862	27.193	-401.476	-561.427	28.874	193.405	-491.630	28.928	249.012	-181.815	31.357	-93.221	-143.198	33.622	-239.441	-528.934	33.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30	0.09667	458.367	-658.862	27.011	-401.484	-561.421	28.897	193.429	-491.638	29.103	249.013	-181.822	31.335	-93.253	-143.174	33.633	-239.466	-528.944	33.547	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
31	0.10000	458.371	-658.908	27.089	-401.472	-561.405	28.897	193.408	-491.586	29.045	249.009	-181.857	31.330	-93.260	-143.154	33.651	-239.472	-528.937	33.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
32	0.10333	458.365	-658.928	26.948	-401.470	-561.400	28.914	193.380	-491.600	29.021	248.977	-181.832	31.358	-93.259	-143.190	33.664	-239.443	-528.972	33.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
33	0.10667	458.368	-658.884	27.015	-401.469	-561.439	28.882	193.380	-491.602	28.897	249.027	-181.792	31.416	-93.253	-143.172	33.761	-239.472	-528.942	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
34	0.11000	458.345	-658.836	27.147	-401.467	-561.425	28.858	193.396	-491.613	28.962	249.021	-181.828	31.327	-93.276	-143.248	33.687	-239.464	-528.905	33.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
35	0.11333	458.392	-658.815	27.211	-401.472	-561.394	28.873	193.397	-491.628	28.903	248.977	-181.876	31.311	-93.253	-143.213	33.525	-239.449	-528.975	33.514	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
36	0.11667	458.389	-658.906	27.089	-401.474	-561.422	28.904	193.411	-491.654	29.013	248.994	-181.868	31.357	-93.238	-143.216	33.551	-239.479	-528.978	33.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
37	0.12000	458.365	-658.911	27.031	-401.474	-561.428	28.876	193.383	-491.633	28.980	248.999	-181.834	31.385	-93.254	-143.175	33.655	-239.449	-528.970	33.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
38	0.12333	458.388	-658.867	27.002	-401.457	-561.385	28.900	193.393	-491.627	28.918	249.026	-181.828	31.351	-93.269	-143.232	33.687	-239.472	-528.937	33.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
39	0.12667	458.373	-658.816	27.021	-401.463	-561.440	28.850	193.402	-491.589	28.919	249.000	-181.834	31.349	-93.284	-143.246	33.715	-239.465	-528.910	33.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
40	0.13000	458.395	-658.874	27.010	-401.476	-561.428	28.904	193.388	-491.640	28.992	249.026	-181.833	31.386	-93.227	-143.228	33.586	-239.459	-528.912	33.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
41	0.13333	458.390	-658.873	27.036	-401.464	-561.411	28.883	193.399	-491.639	28.856	248.999	-181.857	31.295	-93.248	-143.223	33.615	-239.472	-528.946	33.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
